,Name,Title,Pay,Exercised,Year Born,Company Name,Yahoo Finance Code,Sector(s),Industry,Full Time Exployees,Company Address,Company Country,Company Phone,Company Website
16,Ms. Gay  Mitchell,Deputy Chairman of RBC Wealth Management,N/A,N/A,N/A,Royal Bank of Canada,RY,Financial Services,Banks—Diversified,"85,887","Royal Bank Plaza 200 Bay Street Toronto, ON M5J 2J5",Canada,N/A,http://www.rbc.com
17,Mr. Christoph  Knoess,Chief Admin. & Strategy Officer,N/A,N/A,N/A,Royal Bank of Canada,RY,Financial Services,Banks—Diversified,"85,887","Royal Bank Plaza 200 Bay Street Toronto, ON M5J 2J5",Canada,N/A,http://www.rbc.com
18,Ms. Nadine  Ahn,"Sr. VP, Head of Investor Relations & RBC Capital Markets Fin.",N/A,N/A,1971,Royal Bank of Canada,RY,Financial Services,Banks—Diversified,"85,887","Royal Bank Plaza 200 Bay Street Toronto, ON M5J 2J5",Canada,N/A,http://www.rbc.com
19,Ms. Maria  Douvas,"Exec. VP, Gen. Counsel & Chief Legal Officer",N/A,N/A,N/A,Royal Bank of Canada,RY,Financial Services,Banks—Diversified,"85,887","Royal Bank Plaza 200 Bay Street Toronto, ON M5J 2J5",Canada,N/A,http://www.rbc.com
20,Mr. Bharat B. Masrani,"Group Pres, CEO & Director",2.69M,N/A,1957,The Toronto-Dominion Bank,TD,Financial Services,Banks—Diversified,"60,000","PO Box 1 Toronto-Dominion Centre King Street West and Bay Street Toronto, ON M5K 1A2",Canada,N/A,http://www.td.com
21,Ms. Theresa L. Currie,Group Head of Canadian Personal Banking,1.75M,N/A,N/A,The Toronto-Dominion Bank,TD,Financial Services,Banks—Diversified,"60,000","PO Box 1 Toronto-Dominion Centre King Street West and Bay Street Toronto, ON M5K 1A2",Canada,N/A,http://www.td.com
22,Mr. Riaz E. Ahmed,Group Head of Wholesale Banking,1.38M,N/A,N/A,The Toronto-Dominion Bank,TD,Financial Services,Banks—Diversified,"60,000","PO Box 1 Toronto-Dominion Centre King Street West and Bay Street Toronto, ON M5K 1A2",Canada,N/A,http://www.td.com
23,Mr. Gregory B. Braca,Group Head of U.S. Retail Banking,1.95M,N/A,N/A,The Toronto-Dominion Bank,TD,Financial Services,Banks—Diversified,"60,000","PO Box 1 Toronto-Dominion Centre King Street West and Bay Street Toronto, ON M5K 1A2",Canada,N/A,http://www.td.com
24,Mr. Kelvin Vi Luan Tran,Sr. Exec. VP & CFO,N/A,N/A,N/A,The Toronto-Dominion Bank,TD,Financial Services,Banks—Diversified,"60,000","PO Box 1 Toronto-Dominion Centre King Street West and Bay Street Toronto, ON M5K 1A2",Canada,N/A,http://www.td.com
25,Valerie  Gillis,Chief Accountant & Sr. VP of Fin.,N/A,N/A,N/A,The Toronto-Dominion Bank,TD,Financial Services,Banks—Diversified,"60,000","PO Box 1 Toronto-Dominion Centre King Street West and Bay Street Toronto, ON M5K 1A2",Canada,N/A,http://www.td.com
26,Mr. Michael G. Rhodes,"Group Head of Innovation, Technology & Shared Services",N/A,N/A,1966,The Toronto-Dominion Bank,TD,Financial Services,Banks—Diversified,"60,000","PO Box 1 Toronto-Dominion Centre King Street West and Bay Street Toronto, ON M5K 1A2",Canada,N/A,http://www.td.com
27,Mr. Jeffrey J. Henderson,Chief Information Officer & Exec. VP,N/A,N/A,N/A,The Toronto-Dominion Bank,TD,Financial Services,Banks—Diversified,"60,000","PO Box 1 Toronto-Dominion Centre King Street West and Bay Street Toronto, ON M5K 1A2",Canada,N/A,http://www.td.com
28,Ms. Gillian  Manning,VP & Head of IR,N/A,N/A,N/A,The Toronto-Dominion Bank,TD,Financial Services,Banks—Diversified,"60,000","PO Box 1 Toronto-Dominion Centre King Street West and Bay Street Toronto, ON M5K 1A2",Canada,N/A,http://www.td.com
29,Ms. Norie C. Campbell,Group Head & Gen. Counsel,N/A,N/A,N/A,The Toronto-Dominion Bank,TD,Financial Services,Banks—Diversified,"60,000","PO Box 1 Toronto-Dominion Centre King Street West and Bay Street Toronto, ON M5K 1A2",Canada,N/A,http://www.td.com
30,Mr. James Bruce Flatt,"Managing Partner, CEO & Director",828.18k,N/A,1965,Brookfield Asset Management Inc.,BAM-A.TO,Financial Services,Asset Management,"150,000","Brookfield Place Suite 300 181 Bay Street Toronto, ON M5J 2T3",Canada,416-363-9491,http://www.brookfield.com
31,Mr. Nicholas  Goodman,Managing Partner & CFO,921.94k,N/A,N/A,Brookfield Asset Management Inc.,BAM-A.TO,Financial Services,Asset Management,"150,000","Brookfield Place Suite 300 181 Bay Street Toronto, ON M5J 2T3",Canada,416-363-9491,http://www.brookfield.com
32,"Mr. Sachin G. Shah CPA, CPA",Managing Partner & Chief Investment Officer,1.08M,N/A,1977,Brookfield Asset Management Inc.,BAM-A.TO,Financial Services,Asset Management,"150,000","Brookfield Place Suite 300 181 Bay Street Toronto, ON M5J 2T3",Canada,416-363-9491,http://www.brookfield.com
33,Mr. Cyrus  Madon,Managing Partner & CEO of Private Equity Group,1.07M,N/A,1966,Brookfield Asset Management Inc.,BAM-A.TO,Financial Services,Asset Management,"150,000","Brookfield Place Suite 300 181 Bay Street Toronto, ON M5J 2T3",Canada,416-363-9491,http://www.brookfield.com
34,Mr. Samuel J.B. Pollock,Managing Partner & CEO of Infrastructure,1.07M,N/A,1966,Brookfield Asset Management Inc.,BAM-A.TO,Financial Services,Asset Management,"150,000","Brookfield Place Suite 300 181 Bay Street Toronto, ON M5J 2T3",Canada,416-363-9491,http://www.brookfield.com
35,Mr. Brian William Kingston,Managing Partner & CEO of Real Estate,1.5M,N/A,1974,Brookfield Asset Management Inc.,BAM-A.TO,Financial Services,Asset Management,"150,000","Brookfield Place Suite 300 181 Bay Street Toronto, ON M5J 2T3",Canada,416-363-9491,http://www.brookfield.com
36,Mr. James  Reid,Managing Partner & Chief Investment Officer of Private Equity and Energy,N/A,N/A,1966,Brookfield Asset Management Inc.,BAM-A.TO,Financial Services,Asset Management,"150,000","Brookfield Place Suite 300 181 Bay Street Toronto, ON M5J 2T3",Canada,416-363-9491,http://www.brookfield.com
37,Mr. David James Nowak,Managing Partner of Private Equity,N/A,N/A,1970,Brookfield Asset Management Inc.,BAM-A.TO,Financial Services,Asset Management,"150,000","Brookfield Place Suite 300 181 Bay Street Toronto, ON M5J 2T3",Canada,416-363-9491,http://www.brookfield.com
38,Mr. Pierre  McNeil,Managing Director of Private Equity,N/A,N/A,1963,Brookfield Asset Management Inc.,BAM-A.TO,Financial Services,Asset Management,"150,000","Brookfield Place Suite 300 181 Bay Street Toronto, ON M5J 2T3",Canada,416-363-9491,http://www.brookfield.com
39,"Ms. Lori Anne Pearson F.C.A., FCPA",Managing Partner & COO,N/A,N/A,1962,Brookfield Asset Management Inc.,BAM-A.TO,Financial Services,Asset Management,"150,000","Brookfield Place Suite 300 181 Bay Street Toronto, ON M5J 2T3",Canada,416-363-9491,http://www.brookfield.com
40,Mr. Al  Monaco,"Pres, CEO & Director",3.89M,N/A,1960,Enbridge Inc.,ENB,Energy,Oil & Gas Midstream,"11,200","200, Fifth Avenue Place 425 - 1st Street SW Calgary, AB T2P 3L8",Canada,403 231 3900,http://www.enbridge.com
41,Mr. Dai-Chung  Yu,Exec. VP & CFO,1.09M,N/A,1967,Enbridge Inc.,ENB,Energy,Oil & Gas Midstream,"11,200","200, Fifth Avenue Place 425 - 1st Street SW Calgary, AB T2P 3L8",Canada,403 231 3900,http://www.enbridge.com
42,"Mr. Robert R. Rooney Q.C., LLB, QC",Exec. VP & Chief Legal Officer,977.69k,N/A,1957,Enbridge Inc.,ENB,Energy,Oil & Gas Midstream,"11,200","200, Fifth Avenue Place 425 - 1st Street SW Calgary, AB T2P 3L8",Canada,403 231 3900,http://www.enbridge.com
43,Mr. Colin Kenneth Gruending,Exec. VP & Pres of Liquids Pipelines,1.1M,N/A,1970,Enbridge Inc.,ENB,Energy,Oil & Gas Midstream,"11,200","200, Fifth Avenue Place 425 - 1st Street SW Calgary, AB T2P 3L8",Canada,403 231 3900,http://www.enbridge.com
44,Mr. William Turner Yardley,Exec. VP and Pres of Gas Transmission & Midstream,1.28M,N/A,1965,Enbridge Inc.,ENB,Energy,Oil & Gas Midstream,"11,200","200, Fifth Avenue Place 425 - 1st Street SW Calgary, AB T2P 3L8",Canada,403 231 3900,http://www.enbridge.com
45,Mr. Patrick Robert Murray,Sr. VP & Chief Accounting Officer,N/A,N/A,1976,Enbridge Inc.,ENB,Energy,Oil & Gas Midstream,"11,200","200, Fifth Avenue Place 425 - 1st Street SW Calgary, AB T2P 3L8",Canada,403 231 3900,http://www.enbridge.com
46,Mr. Bhushan N. Ivaturi,Sr. VP & Chief Information Officer,N/A,N/A,N/A,Enbridge Inc.,ENB,Energy,Oil & Gas Midstream,"11,200","200, Fifth Avenue Place 425 - 1st Street SW Calgary, AB T2P 3L8",Canada,403 231 3900,http://www.enbridge.com
47,Jonathan  Morgan,VP of Investor Relations,N/A,N/A,N/A,Enbridge Inc.,ENB,Energy,Oil & Gas Midstream,"11,200","200, Fifth Avenue Place 425 - 1st Street SW Calgary, AB T2P 3L8",Canada,403 231 3900,http://www.enbridge.com
48,Mr. Tyler Wade Robinson,VP & Chief Compliance Officer,N/A,N/A,N/A,Enbridge Inc.,ENB,Energy,Oil & Gas Midstream,"11,200","200, Fifth Avenue Place 425 - 1st Street SW Calgary, AB T2P 3L8",Canada,403 231 3900,http://www.enbridge.com
49,Roxanna  Benoit,"VP of Public Affairs, Communications & Sustainability",N/A,N/A,N/A,Enbridge Inc.,ENB,Energy,Oil & Gas Midstream,"11,200","200, Fifth Avenue Place 425 - 1st Street SW Calgary, AB T2P 3L8",Canada,403 231 3900,http://www.enbridge.com
50,Mr. James Shane Metcalf,Exec. Chairman,2.15M,N/A,1958,"Cornerstone Building Brands, Inc.",CNR,Industrials,Building Products & Equipment,"20,000","5020 Weston Parkway Suite 400 Cary, NC 27513",United States,866 419 0042,http://www.cornerstonebuildingbrands.com
51,Mr. Jeffrey S. Lee,"Exec. VP, CFO, Chief Accounting Officer & Treasurer",1.14M,N/A,1970,"Cornerstone Building Brands, Inc.",CNR,Industrials,Building Products & Equipment,"20,000","5020 Weston Parkway Suite 400 Cary, NC 27513",United States,866 419 0042,http://www.cornerstonebuildingbrands.com
52,Mr. James F. Keppler,Exec. VP of Operations,510.36k,N/A,N/A,"Cornerstone Building Brands, Inc.",CNR,Industrials,Building Products & Equipment,"20,000","5020 Weston Parkway Suite 400 Cary, NC 27513",United States,866 419 0042,http://www.cornerstonebuildingbrands.com
53,Mr. John L. Buckley,Pres of Siding Bus. Unit - Residential,1.03M,N/A,1965,"Cornerstone Building Brands, Inc.",CNR,Industrials,Building Products & Equipment,"20,000","5020 Weston Parkway Suite 400 Cary, NC 27513",United States,866 419 0042,http://www.cornerstonebuildingbrands.com
54,Ms. Rose  Lee,"CEO, Pres & Director",N/A,N/A,1966,"Cornerstone Building Brands, Inc.",CNR,Industrials,Building Products & Equipment,"20,000","5020 Weston Parkway Suite 400 Cary, NC 27513",United States,866 419 0042,http://www.cornerstonebuildingbrands.com
55,Ms. Tina M. Beskid,VP of Fin. & Investor Relations,N/A,N/A,1975,"Cornerstone Building Brands, Inc.",CNR,Industrials,Building Products & Equipment,"20,000","5020 Weston Parkway Suite 400 Cary, NC 27513",United States,866 419 0042,http://www.cornerstonebuildingbrands.com
56,Ms. Alena S. Brenner,"Exec. VP, Gen. Counsel & Corp. Sec.",N/A,N/A,N/A,"Cornerstone Building Brands, Inc.",CNR,Industrials,Building Products & Equipment,"20,000","5020 Weston Parkway Suite 400 Cary, NC 27513",United States,866 419 0042,http://www.cornerstonebuildingbrands.com
57,Ms. Susan  Selle,Chief Marketing Officer,N/A,N/A,N/A,"Cornerstone Building Brands, Inc.",CNR,Industrials,Building Products & Equipment,"20,000","5020 Weston Parkway Suite 400 Cary, NC 27513",United States,866 419 0042,http://www.cornerstonebuildingbrands.com
58,Ms. Katy K. Theroux,Exec. VP & Chief HR Officer,N/A,N/A,1969,"Cornerstone Building Brands, Inc.",CNR,Industrials,Building Products & Equipment,"20,000","5020 Weston Parkway Suite 400 Cary, NC 27513",United States,866 419 0042,http://www.cornerstonebuildingbrands.com
59,Mr. Arthur W. Steinhafel,Pres of U.S. Windows Bus. Unit - Residential,N/A,N/A,1969,"Cornerstone Building Brands, Inc.",CNR,Industrials,Building Products & Equipment,"20,000","5020 Weston Parkway Suite 400 Cary, NC 27513",United States,866 419 0042,http://www.cornerstonebuildingbrands.com
60,"Mr. Brian Johnston Porter A.M.P., B.Com.","Pres, CEO & Director",2.78M,N/A,1958,The Bank of Nova Scotia,BNS,Financial Services,Banks—Diversified,"90,833","Bank of Nova Scotia Building 1709 Hollis Street Halifax, NS B3J 1W1",Canada,N/A,http://www.scotiabank.com
61,Mr. Rajagopal  Viswanathan,Group Head & CFO,1.07M,6.84k,N/A,The Bank of Nova Scotia,BNS,Financial Services,Banks—Diversified,"90,833","Bank of Nova Scotia Building 1709 Hollis Street Halifax, NS B3J 1W1",Canada,N/A,http://www.scotiabank.com
62,Mr. Ignacio  Deschamps,Group Head of International Banking & Digital Transformation,1.43M,N/A,N/A,The Bank of Nova Scotia,BNS,Financial Services,Banks—Diversified,"90,833","Bank of Nova Scotia Building 1709 Hollis Street Halifax, NS B3J 1W1",Canada,N/A,http://www.scotiabank.com
63,Mr. Daniel Llewellyn Rees,Group Head of Canadian Banking,1.3M,61.25k,N/A,The Bank of Nova Scotia,BNS,Financial Services,Banks—Diversified,"90,833","Bank of Nova Scotia Building 1709 Hollis Street Halifax, NS B3J 1W1",Canada,N/A,http://www.scotiabank.com
64,Mr. Jake  Lawrence,Group Head & CEO,1.26M,N/A,N/A,The Bank of Nova Scotia,BNS,Financial Services,Banks—Diversified,"90,833","Bank of Nova Scotia Building 1709 Hollis Street Halifax, NS B3J 1W1",Canada,N/A,http://www.scotiabank.com
65,Ms. Tracy  Bryan,Exec. VP of Global Operations,N/A,N/A,N/A,The Bank of Nova Scotia,BNS,Financial Services,Banks—Diversified,"90,833","Bank of Nova Scotia Building 1709 Hollis Street Halifax, NS B3J 1W1",Canada,N/A,http://www.scotiabank.com
66,Mr. James A. Neate,Pres & Group Head of Corp. and Investment Banking,N/A,N/A,N/A,The Bank of Nova Scotia,BNS,Financial Services,Banks—Diversified,"90,833","Bank of Nova Scotia Building 1709 Hollis Street Halifax, NS B3J 1W1",Canada,N/A,http://www.scotiabank.com
67,Dr. Michael  Zerbs,Group Head of Technology & Operations,N/A,N/A,N/A,The Bank of Nova Scotia,BNS,Financial Services,Banks—Diversified,"90,833","Bank of Nova Scotia Building 1709 Hollis Street Halifax, NS B3J 1W1",Canada,N/A,http://www.scotiabank.com
68,Mr. Philip Stephen Watson Smith,Sr. VP of Investor Relations,N/A,N/A,N/A,The Bank of Nova Scotia,BNS,Financial Services,Banks—Diversified,"90,833","Bank of Nova Scotia Building 1709 Hollis Street Halifax, NS B3J 1W1",Canada,N/A,http://www.scotiabank.com
69,Mr. Ian  Arellano,Exec. VP & Gen. Counsel,N/A,N/A,N/A,The Bank of Nova Scotia,BNS,Financial Services,Banks—Diversified,"90,833","Bank of Nova Scotia Building 1709 Hollis Street Halifax, NS B3J 1W1",Canada,N/A,http://www.scotiabank.com
70,Mr. William Darryl White,CEO & Director,2.74M,N/A,1972,Bank of Montreal,BMO,Financial Services,Banks—Diversified,"43,360","129 rue Saint Jacques Montreal, QC H2Y 1L6",Canada,416-867-7366,http://www.bmo.com
71,Mr. Cameron  Fowler,Chief Strategy & Operations Officer,1.61M,N/A,N/A,Bank of Montreal,BMO,Financial Services,Banks—Diversified,"43,360","129 rue Saint Jacques Montreal, QC H2Y 1L6",Canada,416-867-7366,http://www.bmo.com
72,Mr. Thomas Earl Flynn,Vice Chairman,1.1M,N/A,1964,Bank of Montreal,BMO,Financial Services,Banks—Diversified,"43,360","129 rue Saint Jacques Montreal, QC H2Y 1L6",Canada,416-867-7366,http://www.bmo.com
73,Mr. Daniel  Barclay,CEO & Group Head of BMO Capital Markets,2.31M,N/A,N/A,Bank of Montreal,BMO,Financial Services,Banks—Diversified,"43,360","129 rue Saint Jacques Montreal, QC H2Y 1L6",Canada,416-867-7366,http://www.bmo.com
74,Mr. David Robert Casper,"U.S. CEO - BMO Financial Group, Chair & CEO - BMO Harris Bank N.A. & Group Head of North America com",1.63M,N/A,N/A,Bank of Montreal,BMO,Financial Services,Banks—Diversified,"43,360","129 rue Saint Jacques Montreal, QC H2Y 1L6",Canada,416-867-7366,http://www.bmo.com
75,Mr. Tayfun  Tuzun,Chief Financial Officer,N/A,N/A,1965,Bank of Montreal,BMO,Financial Services,Banks—Diversified,"43,360","129 rue Saint Jacques Montreal, QC H2Y 1L6",Canada,416-867-7366,http://www.bmo.com
76,Mr. Steve  Tennyson C.F.A.,Chief Technology & Operations Officer,N/A,N/A,N/A,Bank of Montreal,BMO,Financial Services,Banks—Diversified,"43,360","129 rue Saint Jacques Montreal, QC H2Y 1L6",Canada,416-867-7366,http://www.bmo.com
77,Ms. Jill  Homenuk CFA,Head of Investor Relations,N/A,N/A,N/A,Bank of Montreal,BMO,Financial Services,Banks—Diversified,"43,360","129 rue Saint Jacques Montreal, QC H2Y 1L6",Canada,416-867-7366,http://www.bmo.com
78,Ms. Sharon Marie Haward-Laird,Gen. Counsel,N/A,N/A,N/A,Bank of Montreal,BMO,Financial Services,Banks—Diversified,"43,360","129 rue Saint Jacques Montreal, QC H2Y 1L6",Canada,416-867-7366,http://www.bmo.com
79,Ms. Kimberley Crews Goode,Chief Communications & Social Impact Officer,N/A,N/A,N/A,Bank of Montreal,BMO,Financial Services,Banks—Diversified,"43,360","129 rue Saint Jacques Montreal, QC H2Y 1L6",Canada,416-867-7366,http://www.bmo.com
80,"Mr. Stephen John Hasker B.Com., M.B.A.","Pres, CEO & Director",5M,N/A,1970,Thomson Reuters Corporation,TRI,Industrials,Specialty Business Services,"24,000","333 Bay Street Suite 300 Toronto, ON M5H 2R2",Canada,647 480 7000,http://www.thomsonreuters.com
81,Mr. Michael  Eastwood,Chief Financial Officer,1.41M,N/A,1967,Thomson Reuters Corporation,TRI,Industrials,Specialty Business Services,"24,000","333 Bay Street Suite 300 Toronto, ON M5H 2R2",Canada,647 480 7000,http://www.thomsonreuters.com
82,Mr. Brian S. Peccarelli,Exec. VP & COO of Customer Markets,1.82M,N/A,1961,Thomson Reuters Corporation,TRI,Industrials,Specialty Business Services,"24,000","333 Bay Street Suite 300 Toronto, ON M5H 2R2",Canada,647 480 7000,http://www.thomsonreuters.com
83,Mr. Michael  Friedenberg,Pres of Reuters News,1.62M,N/A,1967,Thomson Reuters Corporation,TRI,Industrials,Specialty Business Services,"24,000","333 Bay Street Suite 300 Toronto, ON M5H 2R2",Canada,647 480 7000,http://www.thomsonreuters.com
84,Mr. David  Wong,Chief Product Officer,929.67k,N/A,1985,Thomson Reuters Corporation,TRI,Industrials,Specialty Business Services,"24,000","333 Bay Street Suite 300 Toronto, ON M5H 2R2",Canada,647 480 7000,http://www.thomsonreuters.com
85,Ms. Kirsty  Roth,Chief Operations & Technology Officer,N/A,N/A,1976,Thomson Reuters Corporation,TRI,Industrials,Specialty Business Services,"24,000","333 Bay Street Suite 300 Toronto, ON M5H 2R2",Canada,647 480 7000,http://www.thomsonreuters.com
86,Ms. Linda J. Walker,"Chief Accounting Officer, Sr. VP & Controller",N/A,N/A,N/A,Thomson Reuters Corporation,TRI,Industrials,Specialty Business Services,"24,000","333 Bay Street Suite 300 Toronto, ON M5H 2R2",Canada,647 480 7000,http://www.thomsonreuters.com
87,Mr. Frank J. Golden,Head of Investor Relations,N/A,N/A,1958,Thomson Reuters Corporation,TRI,Industrials,Specialty Business Services,"24,000","333 Bay Street Suite 300 Toronto, ON M5H 2R2",Canada,647 480 7000,http://www.thomsonreuters.com
88,Mr. Thomas Sang Kim,Chief Legal Officer & Company Sec.,N/A,N/A,1971,Thomson Reuters Corporation,TRI,Industrials,Specialty Business Services,"24,000","333 Bay Street Suite 300 Toronto, ON M5H 2R2",Canada,647 480 7000,http://www.thomsonreuters.com
89,Mr. Alex  Thompson,Chief Communications Officer,N/A,N/A,N/A,Thomson Reuters Corporation,TRI,Industrials,Specialty Business Services,"24,000","333 Bay Street Suite 300 Toronto, ON M5H 2R2",Canada,647 480 7000,http://www.thomsonreuters.com
90,Mr. Victor G. Dodig,"Pres, CEO & Director",2.1M,N/A,1966,Canadian Imperial Bank of Commerce,CM,Financial Services,Banks—Diversified,"44,904","Commerce Court Toronto, ON M5L 1A2",Canada,416-980-2211,http://www.cibc.com
91,Mr. Hratch  Panossian,Sr. EVP & CFO and Enterprise Strategy,821.35k,N/A,N/A,Canadian Imperial Bank of Commerce,CM,Financial Services,Banks—Diversified,"44,904","Commerce Court Toronto, ON M5L 1A2",Canada,416-980-2211,http://www.cibc.com
92,Mr. Harry K. Culham,Sr. EVP and Group Head of Capital Markets & Direct Financial Services,1.99M,N/A,N/A,Canadian Imperial Bank of Commerce,CM,Financial Services,Banks—Diversified,"44,904","Commerce Court Toronto, ON M5L 1A2",Canada,416-980-2211,http://www.cibc.com
93,Ms. Laura L. Dottori-Attanasio,Sr. EVP & Group Head of Personal and Bus. Banking - Canada,1.24M,N/A,1968,Canadian Imperial Bank of Commerce,CM,Financial Services,Banks—Diversified,"44,904","Commerce Court Toronto, ON M5L 1A2",Canada,416-980-2211,http://www.cibc.com
94,Mr. Michael G. Capatides,"Sr. EVP & Group Head of US Region, Pres and CEO of CIBC Bank USA",N/A,N/A,N/A,Canadian Imperial Bank of Commerce,CM,Financial Services,Banks—Diversified,"44,904","Commerce Court Toronto, ON M5L 1A2",Canada,416-980-2211,http://www.cibc.com
95,Mr. Roman  Dubczak,Head of Global Investment Banking & MD,N/A,N/A,N/A,Canadian Imperial Bank of Commerce,CM,Financial Services,Banks—Diversified,"44,904","Commerce Court Toronto, ON M5L 1A2",Canada,416-980-2211,http://www.cibc.com
96,Ms. Christina C. Kramer,"Sr. EVP and Group Head of Technology, Infrastructure & Innovation",N/A,N/A,N/A,Canadian Imperial Bank of Commerce,CM,Financial Services,Banks—Diversified,"44,904","Commerce Court Toronto, ON M5L 1A2",Canada,416-980-2211,http://www.cibc.com
97,Ms. Kikelomo  Lawal,Exec. VP & Chief Legal Officer,N/A,N/A,N/A,Canadian Imperial Bank of Commerce,CM,Financial Services,Banks—Diversified,"44,904","Commerce Court Toronto, ON M5L 1A2",Canada,416-980-2211,http://www.cibc.com
98,Ms. Sandra R. Sharman,"Sr. EVP and Group Head of People, Culture & Brand",N/A,N/A,1963,Canadian Imperial Bank of Commerce,CM,Financial Services,Banks—Diversified,"44,904","Commerce Court Toronto, ON M5L 1A2",Canada,416-980-2211,http://www.cibc.com
99,Mr. John P. Ferren,Sr. VP of Deposit Products & Analytics,N/A,N/A,N/A,Canadian Imperial Bank of Commerce,CM,Financial Services,Banks—Diversified,"44,904","Commerce Court Toronto, ON M5L 1A2",Canada,416-980-2211,http://www.cibc.com
100,Mr. Francois Lionel Poirier,"CEO, Pres & Director",1.44M,872.05k,1966,TC Energy Corporation,TRP,Energy,Oil & Gas Midstream,"7,283","450 - 1 Street SW Calgary, AB T2P 5H1",Canada,N/A,http://www.tcenergy.com
101,Mr. Donald R. Marchand,Exec. Officer,1.14M,5.85M,1963,TC Energy Corporation,TRP,Energy,Oil & Gas Midstream,"7,283","450 - 1 Street SW Calgary, AB T2P 5H1",Canada,N/A,http://www.tcenergy.com
